time,scenario,chunk_seed
1,RAIN,20089
2,RAIN,20089
3,RAIN,20089
4,RAIN,20089
5,RAIN,20089
6,RAIN,20089
7,RAIN,20089
8,RAIN,20089
9,RAIN,20089
10,RAIN,20089
11,RAIN,20089
12,RAIN,20089
13,RAIN,20089
14,RAIN,20089
15,RAIN,20089
16,RAIN,20089
17,RAIN,20089
18,RAIN,20089
19,RAIN,20089
20,RAIN,20089
21,RAIN,20089
22,RAIN,20089
23,RAIN,20089
24,RAIN,20089
25,RAIN,20089
26,RAIN,20089
27,RAIN,20089
28,RAIN,20089
29,RAIN,20089
30,RAIN,20089
31,RAIN,20089
32,RAIN,20089
33,RAIN,20089
34,RAIN,20089
35,RAIN,20089
36,RAIN,20089
37,RAIN,20089
38,RAIN,20089
39,RAIN,20089
40,RAIN,20089
41,RAIN,20089
42,RAIN,20089
43,RAIN,20089
44,RAIN,20089
45,RAIN,20089
46,RAIN,20089
47,RAIN,20089
48,RAIN,20089
49,RAIN,20089
50,RAIN,20089
51,RAIN,20089
52,RAIN,20089
53,RAIN,20089
54,RAIN,20089
55,RAIN,20089
56,RAIN,20089
57,RAIN,20089
58,RAIN,20089
59,RAIN,20089
60,RAIN,20089
61,RAIN,20089
62,RAIN,20089
63,RAIN,20089
64,RAIN,20089
65,RAIN,20089
66,RAIN,20089
67,RAIN,20089
68,RAIN,20089
69,RAIN,20089
70,RAIN,20089
71,RAIN,20089
72,RAIN,20089
73,RAIN,20089
74,RAIN,20089
75,RAIN,20089
76,RAIN,20089
77,RAIN,20089
78,RAIN,20089
79,RAIN,20089
80,RAIN,20089
81,RAIN,20089
82,RAIN,20089
83,RAIN,20089
84,RAIN,20089
85,RAIN,20089
86,RAIN,20089
87,RAIN,20089
88,RAIN,20089
89,RAIN,20089
90,RAIN,20089
91,RAIN,20089
92,RAIN,20089
93,RAIN,20089
94,RAIN,20089
95,RAIN,20089
96,RAIN,20089
97,RAIN,20089
98,RAIN,20089
99,RAIN,20089
100,RAIN,20089
101,RAIN,20089
102,RAIN,20089
103,RAIN,20089
104,RAIN,20089
105,RAIN,20089
106,RAIN,20089
107,RAIN,20089
108,RAIN,20089
109,RAIN,20089
110,RAIN,20089
111,RAIN,20089
112,RAIN,20089
113,RAIN,20089
114,RAIN,20089
115,RAIN,20089
116,RAIN,20089
117,RAIN,20089
118,RAIN,20089
119,RAIN,20089
120,RAIN,20089
121,RAIN,20089
122,RAIN,20089
123,RAIN,20089
124,RAIN,20089
125,RAIN,20089
126,BASE,20090
127,BASE,20090
128,BASE,20090
129,BASE,20090
130,BASE,20090
