time,scenario,chunk_seed
1,FOG,20072
2,FOG,20072
3,FOG,20072
4,FOG,20072
5,FOG,20072
6,FOG,20072
7,FOG,20072
8,FOG,20072
9,FOG,20072
10,FOG,20072
11,FOG,20072
12,FOG,20072
13,FOG,20072
14,FOG,20072
15,FOG,20072
16,FOG,20072
17,FOG,20072
18,FOG,20072
19,FOG,20072
20,FOG,20072
21,FOG,20072
22,FOG,20072
23,FOG,20072
24,FOG,20072
25,FOG,20072
26,FOG,20072
27,FOG,20072
28,FOG,20072
29,FOG,20072
30,FOG,20072
31,FOG,20072
32,FOG,20072
33,FOG,20072
34,FOG,20072
35,FOG,20072
36,FOG,20072
37,FOG,20072
38,FOG,20072
39,FOG,20072
40,FOG,20072
41,FOG,20072
42,FOG,20072
43,FOG,20072
44,FOG,20072
45,FOG,20072
46,FOG,20072
47,FOG,20072
48,FOG,20072
49,FOG,20072
50,FOG,20072
51,FOG,20072
52,FOG,20072
53,FOG,20072
54,FOG,20072
55,FOG,20072
56,FOG,20072
57,FOG,20072
58,FOG,20072
59,FOG,20072
60,FOG,20072
61,FOG,20072
62,FOG,20072
63,FOG,20072
64,FOG,20072
65,FOG,20072
66,FOG,20072
67,FOG,20072
68,FOG,20072
69,FOG,20072
70,FOG,20072
71,FOG,20072
72,FOG,20072
73,FOG,20072
74,FOG,20072
75,FOG,20072
76,FOG,20072
77,FOG,20072
78,FOG,20072
79,FOG,20072
80,FOG,20072
81,FOG,20072
82,FOG,20072
83,FOG,20072
84,FOG,20072
85,FOG,20072
86,FOG,20072
87,FOG,20072
88,FOG,20072
89,FOG,20072
90,FOG,20072
91,FOG,20072
92,FOG,20072
93,FOG,20072
94,FOG,20072
95,FOG,20072
96,FOG,20072
97,FOG,20072
98,FOG,20072
99,FOG,20072
100,FOG,20072
101,FOG,20072
102,FOG,20072
103,FOG,20072
104,FOG,20072
105,FOG,20072
106,FOG,20072
107,FOG,20072
108,FOG,20072
109,FOG,20072
110,FOG,20072
111,FOG,20072
112,FOG,20072
113,FOG,20072
114,FOG,20072
115,FOG,20072
116,FOG,20072
117,FOG,20072
118,FOG,20072
119,FOG,20072
120,FOG,20072
121,FOG,20072
122,FOG,20072
123,FOG,20072
124,FOG,20072
125,FOG,20072
126,FOG,20072
127,FOG,20072
128,FOG,20072
129,FOG,20072
130,FOG,20072
131,FOG,20072
132,FOG,20072
133,FOG,20072
134,FOG,20072
135,FOG,20072
136,FOG,20072
137,FOG,20072
138,FOG,20072
139,FOG,20072
140,FOG,20072
141,FOG,20072
142,FOG,20072
143,FOG,20072
144,FOG,20072
145,FOG,20072
146,FOG,20072
147,FOG,20072
148,FOG,20072
149,FOG,20072
150,FOG,20072
151,FOG,20072
152,FOG,20072
153,FOG,20072
154,FOG,20072
155,FOG,20072
156,FOG,20072
157,FOG,20072
158,FOG,20072
159,FOG,20072
160,FOG,20072
161,FOG,20072
162,FOG,20072
163,FOG,20072
164,FOG,20072
165,FOG,20072
166,FOG,20072
167,FOG,20072
168,FOG,20072
169,FOG,20072
170,FOG,20072
171,FOG,20072
172,FOG,20072
173,FOG,20072
174,FOG,20072
175,FOG,20072
176,FOG,20072
177,FOG,20072
178,FOG,20072
179,FOG,20072
180,FOG,20072
181,FOG,20072
182,FOG,20072
183,FOG,20072
184,FOG,20072
185,FOG,20072
186,FOG,20072
187,FOG,20072
188,FOG,20072
189,FOG,20072
190,FOG,20072
191,FOG,20072
192,FOG,20072
193,FOG,20072
194,FOG,20072
195,FOG,20072
196,FOG,20072
197,FOG,20072
198,FOG,20072
199,FOG,20072
200,FOG,20072
201,FOG,20072
202,FOG,20072
203,FOG,20072
204,FOG,20072
205,FOG,20072
206,FOG,20072
207,FOG,20072
208,FOG,20072
209,FOG,20072
210,FOG,20072
211,FOG,20072
212,FOG,20072
213,FOG,20072
214,FOG,20072
215,FOG,20072
216,FOG,20072
217,FOG,20072
218,FOG,20072
219,FOG,20072
220,FOG,20072
221,FOG,20072
222,FOG,20072
223,FOG,20072
224,FOG,20072
225,FOG,20072
226,FOG,20072
227,FOG,20072
228,FOG,20072
229,FOG,20072
230,FOG,20072
231,FOG,20072
232,FOG,20072
233,FOG,20072
234,FOG,20072
235,FOG,20072
236,FOG,20072
237,FOG,20072
238,FOG,20072
239,FOG,20072
240,FOG,20072
241,FOG,20072
242,FOG,20072
243,FOG,20072
244,FOG,20072
245,FOG,20072
246,FOG,20072
247,FOG,20072
248,FOG,20072
249,FOG,20072
250,FOG,20072
251,FOG,20072
252,FOG,20072
253,FOG,20072
254,FOG,20072
255,FOG,20072
256,FOG,20072
257,FOG,20072
258,FOG,20072
259,FOG,20072
260,FOG,20072
261,FOG,20072
262,FOG,20072
263,FOG,20072
264,FOG,20072
265,FOG,20072
266,FOG,20072
267,FOG,20072
268,FOG,20072
269,FOG,20072
270,FOG,20072
271,FOG,20072
272,FOG,20072
273,FOG,20072
274,FOG,20072
275,FOG,20072
276,FOG,20072
277,FOG,20072
278,FOG,20072
279,FOG,20072
280,FOG,20072
281,FOG,20072
282,FOG,20072
283,FOG,20072
284,FOG,20072
285,FOG,20072
286,FOG,20072
287,FOG,20072
288,FOG,20072
289,FOG,20072
290,FOG,20072
291,FOG,20072
292,FOG,20072
293,FOG,20072
294,FOG,20072
295,FOG,20072
296,FOG,20072
297,FOG,20072
298,FOG,20072
299,FOG,20072
300,FOG,20072
301,FOG,20072
302,FOG,20072
303,FOG,20072
304,FOG,20072
305,FOG,20072
306,FOG,20072
307,FOG,20072
308,FOG,20072
309,FOG,20072
310,FOG,20072
311,FOG,20072
312,FOG,20072
313,FOG,20072
314,FOG,20072
315,FOG,20072
316,FOG,20072
317,FOG,20072
318,FOG,20072
319,FOG,20072
320,FOG,20072
321,FOG,20072
322,FOG,20072
323,FOG,20072
324,FOG,20072
325,FOG,20072
326,FOG,20072
327,FOG,20072
328,FOG,20072
329,FOG,20072
330,FOG,20072
331,FOG,20072
332,FOG,20072
333,FOG,20072
334,FOG,20072
335,FOG,20072
336,FOG,20072
337,FOG,20072
338,FOG,20072
339,FOG,20072
340,FOG,20072
341,FOG,20072
342,FOG,20072
343,FOG,20072
344,FOG,20072
345,FOG,20072
346,FOG,20072
347,FOG,20072
348,FOG,20072
349,FOG,20072
350,FOG,20072
351,FOG,20072
352,FOG,20072
353,FOG,20072
354,FOG,20072
355,FOG,20072
356,FOG,20072
357,FOG,20072
358,FOG,20072
359,FOG,20072
360,FOG,20072
361,FOG,20072
362,FOG,20072
363,FOG,20072
364,FOG,20072
365,FOG,20072
366,FOG,20072
367,FOG,20072
368,FOG,20072
369,FOG,20072
370,FOG,20072
371,FOG,20072
372,FOG,20072
373,FOG,20072
374,FOG,20072
375,FOG,20072
376,FOG,20072
377,FOG,20072
378,FOG,20072
379,FOG,20072
380,FOG,20072
381,FOG,20072
382,FOG,20072
383,FOG,20072
384,FOG,20072
385,FOG,20072
386,FOG,20072
387,FOG,20072
388,FOG,20072
389,FOG,20072
390,FOG,20072
391,FOG,20072
392,FOG,20072
393,FOG,20072
394,FOG,20072
395,FOG,20072
396,FOG,20072
397,FOG,20072
398,FOG,20072
399,FOG,20072
400,FOG,20072
401,FOG,20072
402,FOG,20072
403,FOG,20072
404,FOG,20072
405,FOG,20072
406,FOG,20072
407,FOG,20072
408,FOG,20072
409,FOG,20072
410,FOG,20072
411,FOG,20072
412,FOG,20072
413,FOG,20072
414,FOG,20072
415,FOG,20072
416,FOG,20072
417,FOG,20072
418,FOG,20072
419,FOG,20072
420,FOG,20072
421,FOG,20072
422,FOG,20072
423,FOG,20072
424,FOG,20072
425,FOG,20072
426,FOG,20072
427,FOG,20072
428,FOG,20072
429,FOG,20072
430,FOG,20072
431,FOG,20072
432,FOG,20072
433,FOG,20072
434,FOG,20072
435,FOG,20072
436,FOG,20072
437,FOG,20072
438,FOG,20072
439,FOG,20072
440,FOG,20072
441,FOG,20072
442,FOG,20072
443,FOG,20072
444,FOG,20072
445,FOG,20072
446,FOG,20072
447,FOG,20072
448,FOG,20072
449,FOG,20072
450,FOG,20072
451,FOG,20072
452,FOG,20072
453,FOG,20072
454,FOG,20072
455,FOG,20072
456,FOG,20072
457,FOG,20072
458,FOG,20072
459,FOG,20072
460,FOG,20072
461,FOG,20072
462,FOG,20072
463,FOG,20072
464,FOG,20072
465,FOG,20072
466,FOG,20072
467,FOG,20072
468,FOG,20072
469,FOG,20072
470,FOG,20072
471,FOG,20072
472,FOG,20072
473,FOG,20072
474,FOG,20072
475,FOG,20072
476,FOG,20072
477,FOG,20072
478,FOG,20072
479,FOG,20072
480,FOG,20072
481,FOG,20072
482,FOG,20072
483,FOG,20072
484,FOG,20072
485,FOG,20072
486,FOG,20072
487,FOG,20072
488,FOG,20072
489,FOG,20072
490,FOG,20072
491,FOG,20072
492,FOG,20072
493,FOG,20072
494,FOG,20072
495,FOG,20072
496,FOG,20072
497,FOG,20072
498,FOG,20072
499,FOG,20072
500,FOG,20072
501,FOG,20072
502,FOG,20072
503,FOG,20072
504,FOG,20072
505,FOG,20072
506,FOG,20072
507,FOG,20072
508,FOG,20072
509,FOG,20072
510,FOG,20072
511,FOG,20072
512,FOG,20072
513,FOG,20072
514,FOG,20072
515,FOG,20072
516,FOG,20072
517,FOG,20072
518,FOG,20072
519,FOG,20072
520,FOG,20072
521,FOG,20072
522,FOG,20072
523,FOG,20072
524,FOG,20072
525,FOG,20072
526,FOG,20072
527,FOG,20072
528,FOG,20072
529,FOG,20072
530,FOG,20072
531,FOG,20072
532,FOG,20072
533,FOG,20072
534,FOG,20072
535,FOG,20072
536,FOG,20072
537,FOG,20072
538,FOG,20072
539,FOG,20072
540,FOG,20072
541,FOG,20072
542,FOG,20072
543,FOG,20072
544,FOG,20072
545,FOG,20072
546,FOG,20072
547,FOG,20072
548,FOG,20072
549,FOG,20072
550,FOG,20072
551,FOG,20072
552,FOG,20072
553,FOG,20072
554,FOG,20072
555,FOG,20072
556,FOG,20072
557,FOG,20072
558,FOG,20072
559,FOG,20072
560,FOG,20072
561,FOG,20072
562,FOG,20072
563,FOG,20072
564,FOG,20072
565,FOG,20072
566,FOG,20072
567,FOG,20072
568,FOG,20072
569,FOG,20072
570,FOG,20072
571,FOG,20072
572,FOG,20072
573,FOG,20072
574,FOG,20072
575,FOG,20072
576,FOG,20072
577,FOG,20072
578,FOG,20072
579,FOG,20072
580,FOG,20072
581,FOG,20072
582,FOG,20072
583,FOG,20072
584,FOG,20072
585,FOG,20072
586,FOG,20072
587,FOG,20072
588,FOG,20072
589,FOG,20072
590,FOG,20072
591,FOG,20072
592,FOG,20072
593,FOG,20072
594,FOG,20072
595,FOG,20072
596,FOG,20072
597,FOG,20072
598,FOG,20072
599,FOG,20072
600,FOG,20072
601,FOG,20072
602,FOG,20072
603,FOG,20072
604,FOG,20072
605,FOG,20072
606,FOG,20072
607,FOG,20072
608,FOG,20072
609,FOG,20072
610,FOG,20072
611,FOG,20072
612,FOG,20072
613,FOG,20072
614,FOG,20072
615,FOG,20072
616,FOG,20072
617,FOG,20072
618,FOG,20072
619,FOG,20072
620,FOG,20072
621,FOG,20072
622,FOG,20072
623,FOG,20072
624,FOG,20072
625,FOG,20072
626,FOG,20072
627,FOG,20072
628,FOG,20072
629,FOG,20072
630,FOG,20072
631,FOG,20072
632,FOG,20072
633,FOG,20072
634,FOG,20072
635,FOG,20072
636,FOG,20072
637,FOG,20072
638,FOG,20072
639,FOG,20072
640,FOG,20072
641,FOG,20072
642,FOG,20072
643,FOG,20072
644,FOG,20072
645,FOG,20072
646,FOG,20072
647,FOG,20072
648,FOG,20072
649,FOG,20072
650,FOG,20072
651,FOG,20072
652,FOG,20072
653,FOG,20072
654,FOG,20072
655,FOG,20072
656,FOG,20072
657,FOG,20072
658,FOG,20072
659,FOG,20072
660,FOG,20072
661,FOG,20072
662,FOG,20072
663,FOG,20072
664,FOG,20072
665,FOG,20072
666,FOG,20072
667,FOG,20072
668,FOG,20072
669,FOG,20072
670,FOG,20072
671,FOG,20072
672,FOG,20072
673,FOG,20072
674,FOG,20072
675,FOG,20072
676,FOG,20072
677,FOG,20072
678,FOG,20072
679,FOG,20072
680,FOG,20072
681,FOG,20072
682,FOG,20072
683,FOG,20072
684,FOG,20072
685,FOG,20072
686,FOG,20072
687,FOG,20072
688,FOG,20072
689,FOG,20072
690,FOG,20072
691,FOG,20072
692,FOG,20072
693,FOG,20072
694,FOG,20072
695,FOG,20072
696,FOG,20072
697,FOG,20072
698,FOG,20072
699,FOG,20072
700,FOG,20072
701,FOG,20072
702,FOG,20072
703,FOG,20072
704,FOG,20072
705,FOG,20072
706,FOG,20072
707,FOG,20072
708,FOG,20072
709,FOG,20072
710,FOG,20072
711,FOG,20072
712,FOG,20072
713,FOG,20072
714,FOG,20072
715,FOG,20072
716,FOG,20072
717,FOG,20072
718,FOG,20072
719,FOG,20072
720,FOG,20072
721,FOG,20072
722,FOG,20072
723,FOG,20072
724,FOG,20072
725,FOG,20072
726,FOG,20072
727,FOG,20072
728,FOG,20072
729,FOG,20072
730,FOG,20072
731,FOG,20072
732,FOG,20072
733,FOG,20072
734,FOG,20072
735,FOG,20072
736,FOG,20072
737,FOG,20072
738,FOG,20072
739,FOG,20072
740,FOG,20072
741,FOG,20072
742,FOG,20072
743,FOG,20072
744,FOG,20072
745,FOG,20072
746,FOG,20072
747,FOG,20072
748,FOG,20072
749,FOG,20072
750,FOG,20072
751,FOG,20072
752,FOG,20072
753,FOG,20072
754,FOG,20072
755,FOG,20072
756,FOG,20072
757,FOG,20072
758,FOG,20072
759,FOG,20072
760,FOG,20072
761,FOG,20072
762,FOG,20072
763,FOG,20072
764,FOG,20072
765,FOG,20072
766,FOG,20072
767,FOG,20072
768,FOG,20072
769,FOG,20072
770,FOG,20072
771,FOG,20072
772,FOG,20072
773,FOG,20072
774,FOG,20072
775,FOG,20072
776,FOG,20072
777,FOG,20072
778,FOG,20072
779,FOG,20072
780,FOG,20072
781,FOG,20072
782,FOG,20072
783,FOG,20072
784,FOG,20072
785,FOG,20072
786,FOG,20072
787,FOG,20072
788,FOG,20072
789,FOG,20072
790,FOG,20072
791,FOG,20072
792,FOG,20072
793,FOG,20072
794,FOG,20072
795,FOG,20072
796,FOG,20072
797,FOG,20072
798,FOG,20072
799,FOG,20072
800,FOG,20072
801,FOG,20072
802,FOG,20072
803,FOG,20072
804,FOG,20072
805,FOG,20072
806,FOG,20072
807,FOG,20072
808,FOG,20072
809,FOG,20072
810,FOG,20072
811,FOG,20072
812,FOG,20072
813,FOG,20072
814,FOG,20072
815,FOG,20072
816,FOG,20072
817,FOG,20072
818,FOG,20072
819,FOG,20072
820,FOG,20072
821,FOG,20072
822,FOG,20072
823,FOG,20072
824,FOG,20072
825,FOG,20072
826,FOG,20072
827,FOG,20072
828,FOG,20072
829,FOG,20072
830,FOG,20072
831,FOG,20072
832,FOG,20072
833,FOG,20072
834,FOG,20072
835,FOG,20072
836,FOG,20072
837,FOG,20072
838,FOG,20072
839,FOG,20072
840,FOG,20072
841,FOG,20072
842,FOG,20072
843,FOG,20072
844,FOG,20072
845,FOG,20072
846,FOG,20072
847,FOG,20072
848,FOG,20072
849,FOG,20072
850,FOG,20072
851,FOG,20072
852,FOG,20072
853,FOG,20072
854,FOG,20072
855,FOG,20072
856,FOG,20072
857,FOG,20072
858,FOG,20072
859,FOG,20072
860,FOG,20072
861,FOG,20072
862,FOG,20072
863,FOG,20072
864,FOG,20072
865,FOG,20072
866,FOG,20072
867,FOG,20072
868,FOG,20072
869,FOG,20072
870,FOG,20072
871,FOG,20072
872,FOG,20072
873,FOG,20072
874,FOG,20072
875,FOG,20072
876,FOG,20072
877,FOG,20072
878,FOG,20072
879,FOG,20072
880,FOG,20072
881,FOG,20072
882,FOG,20072
883,FOG,20072
884,FOG,20072
885,FOG,20072
886,FOG,20072
887,FOG,20072
888,FOG,20072
889,FOG,20072
890,FOG,20072
891,FOG,20072
892,FOG,20072
893,FOG,20072
894,FOG,20072
895,FOG,20072
896,FOG,20072
897,FOG,20072
898,FOG,20072
899,FOG,20072
900,FOG,20072
901,FOG,20072
902,FOG,20072
903,FOG,20072
904,FOG,20072
905,FOG,20072
906,FOG,20072
907,FOG,20072
908,FOG,20072
909,FOG,20072
910,FOG,20072
911,FOG,20072
912,FOG,20072
913,FOG,20072
914,FOG,20072
915,FOG,20072
916,FOG,20072
917,FOG,20072
918,FOG,20072
919,FOG,20072
920,FOG,20072
921,FOG,20072
922,FOG,20072
923,FOG,20072
924,FOG,20072
925,FOG,20072
926,FOG,20072
927,FOG,20072
928,FOG,20072
929,FOG,20072
930,FOG,20072
931,FOG,20072
932,FOG,20072
933,FOG,20072
934,FOG,20072
935,FOG,20072
936,FOG,20072
937,FOG,20072
938,FOG,20072
939,FOG,20072
940,FOG,20072
941,FOG,20072
942,FOG,20072
943,FOG,20072
944,FOG,20072
945,FOG,20072
946,FOG,20072
947,FOG,20072
948,FOG,20072
949,FOG,20072
950,FOG,20072
951,FOG,20072
952,FOG,20072
953,FOG,20072
954,FOG,20072
955,FOG,20072
956,FOG,20072
957,FOG,20072
958,FOG,20072
959,FOG,20072
960,FOG,20072
961,FOG,20072
962,FOG,20072
963,FOG,20072
964,FOG,20072
965,FOG,20072
966,FOG,20072
967,FOG,20072
968,FOG,20072
969,FOG,20072
970,FOG,20072
971,FOG,20072
972,FOG,20072
973,FOG,20072
974,FOG,20072
975,FOG,20072
976,FOG,20072
977,FOG,20072
978,FOG,20072
979,FOG,20072
980,FOG,20072
981,FOG,20072
982,FOG,20072
983,FOG,20072
984,FOG,20072
985,FOG,20072
986,FOG,20072
987,FOG,20072
988,FOG,20072
989,FOG,20072
990,FOG,20072
991,FOG,20072
992,FOG,20072
993,FOG,20072
994,FOG,20072
995,FOG,20072
996,FOG,20072
997,FOG,20072
998,FOG,20072
999,FOG,20072
1000,FOG,20072
