time,scenario,chunk_seed
1,RAIN,20070
2,RAIN,20070
3,RAIN,20070
4,RAIN,20070
5,RAIN,20070
6,RAIN,20070
7,RAIN,20070
8,RAIN,20070
9,RAIN,20070
10,RAIN,20070
11,RAIN,20070
12,RAIN,20070
13,RAIN,20070
14,RAIN,20070
15,RAIN,20070
16,RAIN,20070
17,RAIN,20070
18,RAIN,20070
19,RAIN,20070
20,RAIN,20070
21,RAIN,20070
22,RAIN,20070
23,RAIN,20070
24,RAIN,20070
25,RAIN,20070
26,RAIN,20070
27,RAIN,20070
28,RAIN,20070
29,RAIN,20070
30,RAIN,20070
31,RAIN,20070
32,RAIN,20070
33,RAIN,20070
34,RAIN,20070
35,RAIN,20070
36,RAIN,20070
37,RAIN,20070
38,RAIN,20070
39,RAIN,20070
40,RAIN,20070
41,RAIN,20070
42,RAIN,20070
43,RAIN,20070
44,RAIN,20070
45,RAIN,20070
46,RAIN,20070
47,RAIN,20070
48,RAIN,20070
49,RAIN,20070
50,RAIN,20070
51,RAIN,20070
52,RAIN,20070
53,RAIN,20070
54,RAIN,20070
55,RAIN,20070
56,RAIN,20070
57,RAIN,20070
58,RAIN,20070
59,RAIN,20070
60,RAIN,20070
61,RAIN,20070
62,RAIN,20070
63,RAIN,20070
64,RAIN,20070
65,RAIN,20070
66,RAIN,20070
67,RAIN,20070
68,RAIN,20070
69,RAIN,20070
70,RAIN,20070
71,RAIN,20070
72,RAIN,20070
73,RAIN,20070
74,RAIN,20070
75,RAIN,20070
76,RAIN,20070
77,RAIN,20070
78,RAIN,20070
79,RAIN,20070
80,RAIN,20070
81,RAIN,20070
82,RAIN,20070
83,RAIN,20070
84,RAIN,20070
85,RAIN,20070
86,RAIN,20070
87,RAIN,20070
88,RAIN,20070
89,RAIN,20070
90,RAIN,20070
91,RAIN,20070
92,RAIN,20070
93,RAIN,20070
94,RAIN,20070
95,RAIN,20070
96,RAIN,20070
97,RAIN,20070
98,RAIN,20070
99,RAIN,20070
100,RAIN,20070
101,RAIN,20070
102,RAIN,20070
103,RAIN,20070
104,RAIN,20070
105,RAIN,20070
106,RAIN,20070
107,RAIN,20070
108,RAIN,20070
109,RAIN,20070
110,RAIN,20070
111,RAIN,20070
112,RAIN,20070
113,RAIN,20070
114,RAIN,20070
115,RAIN,20070
116,RAIN,20070
117,RAIN,20070
118,RAIN,20070
119,RAIN,20070
120,RAIN,20070
121,RAIN,20070
122,RAIN,20070
123,RAIN,20070
124,RAIN,20070
125,RAIN,20070
126,RAIN,20070
127,RAIN,20070
128,RAIN,20070
129,RAIN,20070
130,RAIN,20070
131,RAIN,20070
132,RAIN,20070
133,RAIN,20070
134,RAIN,20070
135,RAIN,20070
136,RAIN,20070
137,RAIN,20070
138,RAIN,20070
139,RAIN,20070
140,RAIN,20070
141,RAIN,20070
142,RAIN,20070
143,RAIN,20070
144,RAIN,20070
145,RAIN,20070
146,RAIN,20070
147,RAIN,20070
148,RAIN,20070
149,RAIN,20070
150,RAIN,20070
151,RAIN,20070
152,RAIN,20070
153,RAIN,20070
154,RAIN,20070
155,RAIN,20070
156,RAIN,20070
157,RAIN,20070
158,RAIN,20070
159,RAIN,20070
160,RAIN,20070
161,RAIN,20070
162,RAIN,20070
163,RAIN,20070
164,RAIN,20070
165,RAIN,20070
166,RAIN,20070
167,RAIN,20070
168,RAIN,20070
169,RAIN,20070
170,RAIN,20070
171,RAIN,20070
172,RAIN,20070
173,RAIN,20070
174,RAIN,20070
175,RAIN,20070
176,RAIN,20070
177,RAIN,20070
178,RAIN,20070
179,RAIN,20070
180,RAIN,20070
181,RAIN,20070
182,RAIN,20070
183,RAIN,20070
184,RAIN,20070
185,RAIN,20070
186,RAIN,20070
187,RAIN,20070
188,RAIN,20070
189,RAIN,20070
190,RAIN,20070
191,RAIN,20070
192,RAIN,20070
193,RAIN,20070
194,RAIN,20070
195,RAIN,20070
196,RAIN,20070
197,RAIN,20070
198,RAIN,20070
199,RAIN,20070
200,RAIN,20070
201,RAIN,20070
202,RAIN,20070
203,RAIN,20070
204,RAIN,20070
205,RAIN,20070
206,RAIN,20070
207,RAIN,20070
208,RAIN,20070
209,RAIN,20070
210,RAIN,20070
211,RAIN,20070
212,RAIN,20070
213,RAIN,20070
214,RAIN,20070
215,RAIN,20070
216,RAIN,20070
217,RAIN,20070
218,RAIN,20070
219,RAIN,20070
220,RAIN,20070
221,RAIN,20070
222,RAIN,20070
223,RAIN,20070
224,RAIN,20070
225,RAIN,20070
226,RAIN,20070
227,RAIN,20070
228,RAIN,20070
229,RAIN,20070
230,RAIN,20070
231,RAIN,20070
232,RAIN,20070
233,RAIN,20070
234,RAIN,20070
235,RAIN,20070
236,RAIN,20070
237,RAIN,20070
238,RAIN,20070
239,RAIN,20070
240,RAIN,20070
241,RAIN,20070
242,RAIN,20070
243,RAIN,20070
244,RAIN,20070
245,RAIN,20070
246,RAIN,20070
247,RAIN,20070
248,RAIN,20070
249,RAIN,20070
250,RAIN,20070
251,RAIN,20070
252,RAIN,20070
253,RAIN,20070
254,RAIN,20070
255,RAIN,20070
256,RAIN,20070
257,RAIN,20070
258,RAIN,20070
259,RAIN,20070
260,RAIN,20070
261,RAIN,20070
262,RAIN,20070
263,RAIN,20070
264,RAIN,20070
265,RAIN,20070
266,RAIN,20070
267,RAIN,20070
268,RAIN,20070
269,RAIN,20070
270,RAIN,20070
271,RAIN,20070
272,RAIN,20070
273,RAIN,20070
274,RAIN,20070
275,RAIN,20070
276,RAIN,20070
277,RAIN,20070
278,RAIN,20070
279,RAIN,20070
280,RAIN,20070
281,RAIN,20070
282,RAIN,20070
283,RAIN,20070
284,RAIN,20070
285,RAIN,20070
286,RAIN,20070
287,RAIN,20070
288,RAIN,20070
289,RAIN,20070
290,RAIN,20070
291,RAIN,20070
292,RAIN,20070
293,RAIN,20070
294,RAIN,20070
295,RAIN,20070
296,RAIN,20070
297,RAIN,20070
298,RAIN,20070
299,RAIN,20070
300,RAIN,20070
301,RAIN,20070
302,RAIN,20070
303,RAIN,20070
304,RAIN,20070
305,RAIN,20070
306,RAIN,20070
307,RAIN,20070
308,RAIN,20070
309,RAIN,20070
310,RAIN,20070
311,RAIN,20070
312,RAIN,20070
313,RAIN,20070
314,RAIN,20070
315,RAIN,20070
316,RAIN,20070
317,RAIN,20070
318,RAIN,20070
319,RAIN,20070
320,RAIN,20070
321,RAIN,20070
322,RAIN,20070
323,RAIN,20070
324,RAIN,20070
325,RAIN,20070
326,RAIN,20070
327,RAIN,20070
328,RAIN,20070
329,RAIN,20070
330,RAIN,20070
331,RAIN,20070
332,RAIN,20070
333,RAIN,20070
334,RAIN,20070
335,RAIN,20070
336,RAIN,20070
337,RAIN,20070
338,RAIN,20070
339,RAIN,20070
340,RAIN,20070
341,RAIN,20070
342,RAIN,20070
343,RAIN,20070
344,RAIN,20070
345,RAIN,20070
346,RAIN,20070
347,RAIN,20070
348,RAIN,20070
349,RAIN,20070
350,RAIN,20070
351,RAIN,20070
352,RAIN,20070
353,RAIN,20070
354,RAIN,20070
355,RAIN,20070
356,RAIN,20070
357,RAIN,20070
358,RAIN,20070
359,RAIN,20070
360,RAIN,20070
361,RAIN,20070
362,RAIN,20070
363,RAIN,20070
364,RAIN,20070
365,RAIN,20070
366,RAIN,20070
367,RAIN,20070
368,RAIN,20070
369,RAIN,20070
370,RAIN,20070
371,RAIN,20070
372,RAIN,20070
373,RAIN,20070
374,RAIN,20070
375,RAIN,20070
376,RAIN,20070
377,RAIN,20070
378,RAIN,20070
379,RAIN,20070
380,RAIN,20070
381,RAIN,20070
382,RAIN,20070
383,RAIN,20070
384,RAIN,20070
385,RAIN,20070
386,RAIN,20070
387,RAIN,20070
388,RAIN,20070
389,RAIN,20070
390,RAIN,20070
391,RAIN,20070
392,RAIN,20070
393,RAIN,20070
394,RAIN,20070
395,RAIN,20070
396,RAIN,20070
397,RAIN,20070
398,RAIN,20070
399,RAIN,20070
400,RAIN,20070
401,RAIN,20070
402,RAIN,20070
403,RAIN,20070
404,RAIN,20070
405,RAIN,20070
406,RAIN,20070
407,RAIN,20070
408,RAIN,20070
409,RAIN,20070
410,RAIN,20070
411,RAIN,20070
412,RAIN,20070
413,RAIN,20070
