time,scenario,chunk_seed
1,SNOW,20073
2,SNOW,20073
3,SNOW,20073
4,SNOW,20073
5,SNOW,20073
6,SNOW,20073
7,SNOW,20073
8,SNOW,20073
9,SNOW,20073
10,SNOW,20073
11,SNOW,20073
12,SNOW,20073
13,SNOW,20073
14,SNOW,20073
15,SNOW,20073
16,SNOW,20073
17,SNOW,20073
18,SNOW,20073
19,SNOW,20073
20,SNOW,20073
21,SNOW,20073
22,SNOW,20073
23,SNOW,20073
24,SNOW,20073
25,SNOW,20073
26,SNOW,20073
27,SNOW,20073
28,SNOW,20073
29,SNOW,20073
30,SNOW,20073
31,SNOW,20073
32,SNOW,20073
33,SNOW,20073
34,SNOW,20073
35,SNOW,20073
36,SNOW,20073
37,SNOW,20073
38,SNOW,20073
39,SNOW,20073
40,SNOW,20073
41,SNOW,20073
42,SNOW,20073
43,SNOW,20073
44,SNOW,20073
45,SNOW,20073
46,SNOW,20073
47,SNOW,20073
48,SNOW,20073
49,SNOW,20073
50,SNOW,20073
51,SNOW,20073
52,SNOW,20073
53,SNOW,20073
54,SNOW,20073
55,SNOW,20073
56,SNOW,20073
57,SNOW,20073
58,SNOW,20073
59,SNOW,20073
60,SNOW,20073
61,SNOW,20073
62,SNOW,20073
63,SNOW,20073
64,SNOW,20073
65,SNOW,20073
66,SNOW,20073
67,SNOW,20073
68,SNOW,20073
69,SNOW,20073
70,SNOW,20073
71,SNOW,20073
72,SNOW,20073
73,SNOW,20073
74,SNOW,20073
75,SNOW,20073
76,SNOW,20073
77,SNOW,20073
78,SNOW,20073
79,SNOW,20073
80,SNOW,20073
81,SNOW,20073
82,SNOW,20073
83,SNOW,20073
84,SNOW,20073
85,SNOW,20073
86,SNOW,20073
87,SNOW,20073
88,SNOW,20073
89,SNOW,20073
90,SNOW,20073
91,SNOW,20073
92,SNOW,20073
93,SNOW,20073
94,SNOW,20073
95,SNOW,20073
96,SNOW,20073
97,SNOW,20073
98,SNOW,20073
99,SNOW,20073
100,SNOW,20073
101,SNOW,20073
102,SNOW,20073
103,SNOW,20073
104,SNOW,20073
105,SNOW,20073
106,SNOW,20073
107,SNOW,20073
108,SNOW,20073
109,SNOW,20073
110,SNOW,20073
111,SNOW,20073
112,SNOW,20073
113,SNOW,20073
114,SNOW,20073
115,SNOW,20073
116,SNOW,20073
117,SNOW,20073
118,SNOW,20073
119,SNOW,20073
120,SNOW,20073
121,SNOW,20073
122,SNOW,20073
123,SNOW,20073
124,SNOW,20073
125,SNOW,20073
126,SNOW,20073
127,SNOW,20073
128,SNOW,20073
129,SNOW,20073
130,SNOW,20073
131,SNOW,20073
132,SNOW,20073
133,SNOW,20073
134,SNOW,20073
135,SNOW,20073
136,SNOW,20073
137,SNOW,20073
138,SNOW,20073
139,SNOW,20073
140,SNOW,20073
141,SNOW,20073
142,SNOW,20073
143,SNOW,20073
144,SNOW,20073
145,SNOW,20073
146,SNOW,20073
147,SNOW,20073
148,SNOW,20073
149,SNOW,20073
150,SNOW,20073
151,SNOW,20073
152,SNOW,20073
153,SNOW,20073
154,SNOW,20073
155,SNOW,20073
156,SNOW,20073
157,SNOW,20073
158,SNOW,20073
159,SNOW,20073
160,SNOW,20073
161,SNOW,20073
162,SNOW,20073
163,SNOW,20073
164,SNOW,20073
165,SNOW,20073
166,SNOW,20073
167,SNOW,20073
168,SNOW,20073
169,SNOW,20073
170,SNOW,20073
171,SNOW,20073
172,SNOW,20073
173,SNOW,20073
174,SNOW,20073
175,SNOW,20073
176,SNOW,20073
177,SNOW,20073
178,SNOW,20073
179,SNOW,20073
180,SNOW,20073
181,SNOW,20073
182,SNOW,20073
183,SNOW,20073
184,SNOW,20073
185,SNOW,20073
186,SNOW,20073
187,SNOW,20073
188,SNOW,20073
189,SNOW,20073
190,SNOW,20073
191,SNOW,20073
192,SNOW,20073
193,SNOW,20073
194,SNOW,20073
195,SNOW,20073
196,SNOW,20073
197,SNOW,20073
198,SNOW,20073
199,SNOW,20073
200,SNOW,20073
201,SNOW,20073
202,SNOW,20073
203,SNOW,20073
204,SNOW,20073
205,SNOW,20073
206,SNOW,20073
207,SNOW,20073
208,SNOW,20073
209,SNOW,20073
210,SNOW,20073
211,SNOW,20073
212,SNOW,20073
213,SNOW,20073
214,SNOW,20073
215,SNOW,20073
216,SNOW,20073
217,SNOW,20073
218,SNOW,20073
219,SNOW,20073
220,SNOW,20073
221,SNOW,20073
222,SNOW,20073
223,SNOW,20073
224,SNOW,20073
225,SNOW,20073
226,SNOW,20073
227,SNOW,20073
228,SNOW,20073
229,SNOW,20073
230,SNOW,20073
231,SNOW,20073
232,SNOW,20073
233,SNOW,20073
234,SNOW,20073
235,SNOW,20073
236,SNOW,20073
237,SNOW,20073
238,SNOW,20073
239,SNOW,20073
240,SNOW,20073
241,SNOW,20073
242,SNOW,20073
243,SNOW,20073
244,SNOW,20073
245,SNOW,20073
246,SNOW,20073
247,SNOW,20073
248,SNOW,20073
249,SNOW,20073
250,SNOW,20073
251,BASE,20074
252,BASE,20074
253,BASE,20074
254,BASE,20074
255,BASE,20074
256,BASE,20074
257,BASE,20074
258,BASE,20074
259,BASE,20074
260,BASE,20074
261,BASE,20074
262,BASE,20074
263,BASE,20074
264,BASE,20074
265,BASE,20074
266,BASE,20074
267,BASE,20074
268,BASE,20074
269,BASE,20074
270,BASE,20074
271,BASE,20074
272,BASE,20074
273,BASE,20074
274,BASE,20074
275,BASE,20074
276,BASE,20074
277,BASE,20074
278,BASE,20074
279,BASE,20074
280,BASE,20074
281,BASE,20074
282,BASE,20074
283,BASE,20074
284,BASE,20074
285,BASE,20074
286,BASE,20074
287,BASE,20074
288,BASE,20074
289,BASE,20074
290,BASE,20074
291,BASE,20074
292,BASE,20074
293,BASE,20074
294,BASE,20074
295,BASE,20074
296,BASE,20074
297,BASE,20074
298,BASE,20074
299,BASE,20074
300,BASE,20074
301,BASE,20074
302,BASE,20074
303,BASE,20074
304,BASE,20074
305,BASE,20074
306,BASE,20074
307,BASE,20074
308,BASE,20074
309,BASE,20074
310,BASE,20074
311,BASE,20074
312,BASE,20074
313,BASE,20074
314,BASE,20074
315,BASE,20074
316,BASE,20074
317,BASE,20074
318,BASE,20074
319,BASE,20074
320,BASE,20074
321,BASE,20074
322,BASE,20074
323,BASE,20074
324,BASE,20074
325,BASE,20074
326,BASE,20074
327,BASE,20074
328,BASE,20074
329,BASE,20074
330,BASE,20074
331,BASE,20074
332,BASE,20074
333,BASE,20074
334,BASE,20074
335,BASE,20074
336,BASE,20074
337,BASE,20074
338,BASE,20074
339,BASE,20074
340,BASE,20074
341,BASE,20074
342,BASE,20074
343,BASE,20074
344,BASE,20074
345,BASE,20074
346,BASE,20074
347,BASE,20074
348,BASE,20074
349,BASE,20074
350,BASE,20074
351,BASE,20074
352,BASE,20074
353,BASE,20074
354,BASE,20074
355,BASE,20074
356,BASE,20074
357,BASE,20074
358,BASE,20074
359,BASE,20074
360,BASE,20074
361,BASE,20074
362,BASE,20074
363,BASE,20074
364,BASE,20074
365,BASE,20074
366,BASE,20074
367,BASE,20074
368,BASE,20074
369,BASE,20074
370,BASE,20074
371,BASE,20074
372,BASE,20074
373,BASE,20074
374,BASE,20074
375,BASE,20074
376,BASE,20074
377,BASE,20074
378,BASE,20074
379,BASE,20074
380,BASE,20074
381,BASE,20074
382,BASE,20074
383,BASE,20074
384,BASE,20074
385,BASE,20074
386,BASE,20074
387,BASE,20074
388,BASE,20074
389,BASE,20074
390,BASE,20074
391,BASE,20074
392,BASE,20074
393,BASE,20074
394,BASE,20074
395,BASE,20074
396,BASE,20074
397,BASE,20074
398,BASE,20074
399,BASE,20074
400,BASE,20074
401,BASE,20074
402,BASE,20074
403,BASE,20074
404,BASE,20074
405,BASE,20074
406,BASE,20074
407,BASE,20074
408,BASE,20074
409,BASE,20074
410,BASE,20074
411,BASE,20074
412,BASE,20074
413,BASE,20074
414,BASE,20074
415,BASE,20074
416,BASE,20074
417,BASE,20074
418,BASE,20074
419,BASE,20074
420,BASE,20074
421,BASE,20074
422,BASE,20074
423,BASE,20074
424,BASE,20074
425,BASE,20074
426,BASE,20074
427,BASE,20074
428,BASE,20074
429,BASE,20074
430,BASE,20074
431,BASE,20074
432,BASE,20074
433,BASE,20074
434,BASE,20074
435,BASE,20074
436,BASE,20074
437,BASE,20074
438,BASE,20074
439,BASE,20074
440,BASE,20074
441,BASE,20074
442,BASE,20074
443,BASE,20074
444,BASE,20074
445,BASE,20074
446,BASE,20074
447,BASE,20074
448,BASE,20074
449,BASE,20074
450,BASE,20074
451,BASE,20074
452,BASE,20074
453,BASE,20074
454,BASE,20074
455,BASE,20074
456,BASE,20074
457,BASE,20074
458,BASE,20074
459,BASE,20074
460,BASE,20074
461,BASE,20074
462,BASE,20074
463,BASE,20074
464,BASE,20074
465,BASE,20074
466,BASE,20074
467,BASE,20074
468,BASE,20074
469,BASE,20074
470,BASE,20074
471,BASE,20074
472,BASE,20074
473,BASE,20074
474,BASE,20074
475,BASE,20074
476,BASE,20074
477,BASE,20074
478,BASE,20074
479,BASE,20074
480,BASE,20074
481,BASE,20074
482,BASE,20074
483,BASE,20074
484,BASE,20074
485,BASE,20074
486,BASE,20074
487,BASE,20074
488,BASE,20074
489,BASE,20074
490,BASE,20074
491,BASE,20074
492,BASE,20074
493,BASE,20074
494,BASE,20074
495,BASE,20074
496,BASE,20074
497,BASE,20074
498,BASE,20074
499,BASE,20074
500,BASE,20074
501,FOG,20075
502,FOG,20075
503,FOG,20075
504,FOG,20075
505,FOG,20075
506,FOG,20075
507,FOG,20075
508,FOG,20075
509,FOG,20075
510,FOG,20075
511,FOG,20075
512,FOG,20075
513,FOG,20075
514,FOG,20075
515,FOG,20075
516,FOG,20075
517,FOG,20075
518,FOG,20075
519,FOG,20075
520,FOG,20075
521,FOG,20075
522,FOG,20075
523,FOG,20075
524,FOG,20075
525,FOG,20075
526,FOG,20075
527,FOG,20075
528,FOG,20075
529,FOG,20075
530,FOG,20075
531,FOG,20075
532,FOG,20075
533,FOG,20075
534,FOG,20075
535,FOG,20075
536,FOG,20075
537,FOG,20075
538,FOG,20075
539,FOG,20075
540,FOG,20075
541,FOG,20075
542,FOG,20075
543,FOG,20075
544,FOG,20075
545,FOG,20075
546,FOG,20075
547,FOG,20075
548,FOG,20075
549,FOG,20075
550,FOG,20075
551,FOG,20075
552,FOG,20075
553,FOG,20075
554,FOG,20075
555,FOG,20075
556,FOG,20075
