time,scenario,chunk_seed
1,SNOW,20071
2,SNOW,20071
3,SNOW,20071
4,SNOW,20071
5,SNOW,20071
6,SNOW,20071
7,SNOW,20071
8,SNOW,20071
9,SNOW,20071
10,SNOW,20071
11,SNOW,20071
12,SNOW,20071
13,SNOW,20071
14,SNOW,20071
15,SNOW,20071
16,SNOW,20071
17,SNOW,20071
18,SNOW,20071
19,SNOW,20071
20,SNOW,20071
21,SNOW,20071
22,SNOW,20071
23,SNOW,20071
24,SNOW,20071
25,SNOW,20071
26,SNOW,20071
27,SNOW,20071
28,SNOW,20071
29,SNOW,20071
30,SNOW,20071
31,SNOW,20071
32,SNOW,20071
33,SNOW,20071
34,SNOW,20071
35,SNOW,20071
36,SNOW,20071
37,SNOW,20071
38,SNOW,20071
39,SNOW,20071
40,SNOW,20071
41,SNOW,20071
42,SNOW,20071
43,SNOW,20071
44,SNOW,20071
45,SNOW,20071
46,SNOW,20071
47,SNOW,20071
48,SNOW,20071
49,SNOW,20071
50,SNOW,20071
51,SNOW,20071
52,SNOW,20071
53,SNOW,20071
54,SNOW,20071
55,SNOW,20071
56,SNOW,20071
57,SNOW,20071
58,SNOW,20071
59,SNOW,20071
60,SNOW,20071
61,SNOW,20071
62,SNOW,20071
63,SNOW,20071
64,SNOW,20071
65,SNOW,20071
66,SNOW,20071
67,SNOW,20071
68,SNOW,20071
69,SNOW,20071
70,SNOW,20071
71,SNOW,20071
72,SNOW,20071
73,SNOW,20071
74,SNOW,20071
75,SNOW,20071
76,SNOW,20071
77,SNOW,20071
78,SNOW,20071
79,SNOW,20071
80,SNOW,20071
81,SNOW,20071
82,SNOW,20071
83,SNOW,20071
84,SNOW,20071
85,SNOW,20071
86,SNOW,20071
87,SNOW,20071
88,SNOW,20071
89,SNOW,20071
90,SNOW,20071
91,SNOW,20071
92,SNOW,20071
93,SNOW,20071
94,SNOW,20071
95,SNOW,20071
96,SNOW,20071
97,SNOW,20071
98,SNOW,20071
99,SNOW,20071
100,SNOW,20071
101,SNOW,20071
102,SNOW,20071
103,SNOW,20071
104,SNOW,20071
105,SNOW,20071
106,SNOW,20071
107,SNOW,20071
108,SNOW,20071
109,SNOW,20071
110,SNOW,20071
111,SNOW,20071
112,SNOW,20071
113,SNOW,20071
114,SNOW,20071
115,SNOW,20071
116,SNOW,20071
117,SNOW,20071
118,SNOW,20071
119,SNOW,20071
120,SNOW,20071
121,SNOW,20071
122,SNOW,20071
123,SNOW,20071
124,SNOW,20071
125,SNOW,20071
126,SNOW,20071
127,SNOW,20071
128,SNOW,20071
129,SNOW,20071
130,SNOW,20071
131,SNOW,20071
132,SNOW,20071
133,SNOW,20071
134,SNOW,20071
135,SNOW,20071
136,SNOW,20071
137,SNOW,20071
138,SNOW,20071
139,SNOW,20071
140,SNOW,20071
141,SNOW,20071
142,SNOW,20071
143,SNOW,20071
144,SNOW,20071
145,SNOW,20071
146,SNOW,20071
147,SNOW,20071
148,SNOW,20071
149,SNOW,20071
150,SNOW,20071
151,SNOW,20071
152,SNOW,20071
153,SNOW,20071
154,SNOW,20071
155,SNOW,20071
156,SNOW,20071
157,SNOW,20071
158,SNOW,20071
159,SNOW,20071
160,SNOW,20071
161,SNOW,20071
162,SNOW,20071
163,SNOW,20071
164,SNOW,20071
165,SNOW,20071
166,SNOW,20071
167,SNOW,20071
168,SNOW,20071
169,SNOW,20071
170,SNOW,20071
171,SNOW,20071
172,SNOW,20071
173,SNOW,20071
174,SNOW,20071
175,SNOW,20071
176,SNOW,20071
177,SNOW,20071
178,SNOW,20071
179,SNOW,20071
180,SNOW,20071
181,SNOW,20071
182,SNOW,20071
183,SNOW,20071
184,SNOW,20071
185,SNOW,20071
186,SNOW,20071
187,SNOW,20071
188,SNOW,20071
189,SNOW,20071
190,SNOW,20071
191,SNOW,20071
192,SNOW,20071
193,SNOW,20071
194,SNOW,20071
195,SNOW,20071
196,SNOW,20071
197,SNOW,20071
198,SNOW,20071
199,SNOW,20071
200,SNOW,20071
201,SNOW,20071
202,SNOW,20071
203,SNOW,20071
204,SNOW,20071
205,SNOW,20071
206,SNOW,20071
207,SNOW,20071
208,SNOW,20071
209,SNOW,20071
210,SNOW,20071
211,SNOW,20071
212,SNOW,20071
213,SNOW,20071
214,SNOW,20071
215,SNOW,20071
216,SNOW,20071
217,SNOW,20071
218,SNOW,20071
219,SNOW,20071
220,SNOW,20071
221,SNOW,20071
222,SNOW,20071
223,SNOW,20071
224,SNOW,20071
225,SNOW,20071
226,SNOW,20071
227,SNOW,20071
228,SNOW,20071
229,SNOW,20071
230,SNOW,20071
231,SNOW,20071
232,SNOW,20071
233,SNOW,20071
234,SNOW,20071
235,SNOW,20071
236,SNOW,20071
237,SNOW,20071
238,SNOW,20071
239,SNOW,20071
240,SNOW,20071
241,SNOW,20071
242,SNOW,20071
243,SNOW,20071
244,SNOW,20071
245,SNOW,20071
246,SNOW,20071
247,SNOW,20071
248,SNOW,20071
249,SNOW,20071
250,SNOW,20071
251,SNOW,20071
252,SNOW,20071
253,SNOW,20071
254,SNOW,20071
255,SNOW,20071
256,SNOW,20071
257,SNOW,20071
258,SNOW,20071
259,SNOW,20071
260,SNOW,20071
261,SNOW,20071
262,SNOW,20071
263,SNOW,20071
264,SNOW,20071
265,SNOW,20071
266,SNOW,20071
267,SNOW,20071
268,SNOW,20071
269,SNOW,20071
270,SNOW,20071
271,SNOW,20071
272,SNOW,20071
273,SNOW,20071
274,SNOW,20071
275,SNOW,20071
276,SNOW,20071
277,SNOW,20071
278,SNOW,20071
279,SNOW,20071
280,SNOW,20071
281,SNOW,20071
282,SNOW,20071
283,SNOW,20071
284,SNOW,20071
285,SNOW,20071
286,SNOW,20071
287,SNOW,20071
288,SNOW,20071
289,SNOW,20071
290,SNOW,20071
291,SNOW,20071
292,SNOW,20071
293,SNOW,20071
294,SNOW,20071
295,SNOW,20071
296,SNOW,20071
297,SNOW,20071
298,SNOW,20071
299,SNOW,20071
300,SNOW,20071
301,SNOW,20071
302,SNOW,20071
303,SNOW,20071
304,SNOW,20071
305,SNOW,20071
306,SNOW,20071
307,SNOW,20071
308,SNOW,20071
309,SNOW,20071
310,SNOW,20071
311,SNOW,20071
312,SNOW,20071
313,SNOW,20071
314,SNOW,20071
315,SNOW,20071
316,SNOW,20071
317,SNOW,20071
318,SNOW,20071
319,SNOW,20071
320,SNOW,20071
321,SNOW,20071
322,SNOW,20071
323,SNOW,20071
324,SNOW,20071
325,SNOW,20071
326,SNOW,20071
327,SNOW,20071
328,SNOW,20071
329,SNOW,20071
330,SNOW,20071
331,SNOW,20071
332,SNOW,20071
333,SNOW,20071
334,SNOW,20071
335,SNOW,20071
336,SNOW,20071
337,SNOW,20071
338,SNOW,20071
339,SNOW,20071
340,SNOW,20071
341,SNOW,20071
342,SNOW,20071
343,SNOW,20071
344,SNOW,20071
345,SNOW,20071
346,SNOW,20071
347,SNOW,20071
348,SNOW,20071
349,SNOW,20071
350,SNOW,20071
351,SNOW,20071
352,SNOW,20071
353,SNOW,20071
354,SNOW,20071
355,SNOW,20071
356,SNOW,20071
357,SNOW,20071
358,SNOW,20071
359,SNOW,20071
360,SNOW,20071
361,SNOW,20071
362,SNOW,20071
363,SNOW,20071
364,SNOW,20071
365,SNOW,20071
366,SNOW,20071
367,SNOW,20071
368,SNOW,20071
369,SNOW,20071
370,SNOW,20071
371,SNOW,20071
372,SNOW,20071
373,SNOW,20071
374,SNOW,20071
375,SNOW,20071
376,SNOW,20071
377,SNOW,20071
378,SNOW,20071
379,SNOW,20071
380,SNOW,20071
381,SNOW,20071
382,SNOW,20071
383,SNOW,20071
384,SNOW,20071
385,SNOW,20071
386,SNOW,20071
387,SNOW,20071
388,SNOW,20071
389,SNOW,20071
390,SNOW,20071
391,SNOW,20071
392,SNOW,20071
393,SNOW,20071
394,SNOW,20071
395,SNOW,20071
396,SNOW,20071
397,SNOW,20071
398,SNOW,20071
399,SNOW,20071
400,SNOW,20071
401,SNOW,20071
402,SNOW,20071
403,SNOW,20071
404,SNOW,20071
405,SNOW,20071
406,SNOW,20071
407,SNOW,20071
408,SNOW,20071
409,SNOW,20071
410,SNOW,20071
411,SNOW,20071
412,SNOW,20071
413,SNOW,20071
414,SNOW,20071
415,SNOW,20071
416,SNOW,20071
417,SNOW,20071
418,SNOW,20071
419,SNOW,20071
420,SNOW,20071
421,SNOW,20071
422,SNOW,20071
423,SNOW,20071
424,SNOW,20071
425,SNOW,20071
426,SNOW,20071
427,SNOW,20071
428,SNOW,20071
429,SNOW,20071
430,SNOW,20071
431,SNOW,20071
432,SNOW,20071
433,SNOW,20071
434,SNOW,20071
435,SNOW,20071
436,SNOW,20071
437,SNOW,20071
438,SNOW,20071
439,SNOW,20071
440,SNOW,20071
441,SNOW,20071
442,SNOW,20071
