time,scenario,chunk_seed
1,FOG,20007
2,FOG,20007
3,FOG,20007
4,FOG,20007
5,FOG,20007
6,FOG,20007
7,FOG,20007
8,FOG,20007
9,FOG,20007
10,FOG,20007
11,FOG,20007
12,FOG,20007
13,FOG,20007
14,FOG,20007
15,FOG,20007
16,FOG,20007
17,FOG,20007
18,FOG,20007
19,FOG,20007
20,FOG,20007
21,FOG,20007
22,FOG,20007
23,FOG,20007
24,FOG,20007
25,FOG,20007
26,FOG,20007
27,FOG,20007
28,FOG,20007
29,FOG,20007
30,FOG,20007
31,FOG,20007
32,FOG,20007
33,FOG,20007
34,FOG,20007
35,FOG,20007
36,FOG,20007
37,FOG,20007
38,FOG,20007
39,FOG,20007
40,FOG,20007
41,FOG,20007
42,FOG,20007
43,FOG,20007
44,FOG,20007
45,FOG,20007
46,FOG,20007
47,FOG,20007
48,FOG,20007
49,FOG,20007
50,FOG,20007
51,FOG,20007
52,FOG,20007
53,FOG,20007
54,FOG,20007
55,FOG,20007
56,FOG,20007
57,FOG,20007
58,FOG,20007
59,FOG,20007
60,FOG,20007
61,FOG,20007
62,FOG,20007
63,FOG,20007
64,FOG,20007
65,FOG,20007
66,FOG,20007
67,FOG,20007
68,FOG,20007
69,FOG,20007
70,FOG,20007
71,FOG,20007
72,FOG,20007
73,FOG,20007
74,FOG,20007
75,FOG,20007
76,FOG,20007
77,FOG,20007
78,FOG,20007
79,FOG,20007
80,FOG,20007
81,FOG,20007
82,FOG,20007
83,FOG,20007
84,FOG,20007
85,FOG,20007
86,FOG,20007
87,FOG,20007
88,FOG,20007
89,FOG,20007
90,FOG,20007
91,FOG,20007
92,FOG,20007
93,FOG,20007
94,FOG,20007
95,FOG,20007
96,FOG,20007
97,FOG,20007
98,FOG,20007
99,FOG,20007
100,FOG,20007
101,FOG,20007
102,FOG,20007
103,FOG,20007
104,FOG,20007
105,FOG,20007
106,FOG,20007
107,FOG,20007
108,FOG,20007
109,FOG,20007
110,FOG,20007
111,FOG,20007
112,FOG,20007
113,FOG,20007
114,FOG,20007
115,FOG,20007
116,FOG,20007
117,FOG,20007
118,FOG,20007
119,FOG,20007
120,FOG,20007
121,FOG,20007
122,FOG,20007
123,FOG,20007
124,FOG,20007
125,FOG,20007
126,FOG,20007
127,FOG,20007
128,FOG,20007
129,FOG,20007
130,FOG,20007
131,FOG,20007
132,FOG,20007
133,FOG,20007
134,FOG,20007
135,FOG,20007
136,FOG,20007
137,FOG,20007
138,FOG,20007
139,FOG,20007
140,FOG,20007
141,FOG,20007
142,FOG,20007
143,FOG,20007
144,FOG,20007
145,FOG,20007
146,FOG,20007
147,FOG,20007
148,FOG,20007
149,FOG,20007
150,FOG,20007
151,FOG,20007
152,FOG,20007
153,FOG,20007
154,FOG,20007
155,FOG,20007
156,FOG,20007
157,FOG,20007
158,FOG,20007
159,FOG,20007
160,FOG,20007
161,FOG,20007
162,FOG,20007
163,FOG,20007
164,FOG,20007
165,FOG,20007
166,FOG,20007
167,FOG,20007
168,FOG,20007
169,FOG,20007
170,FOG,20007
171,FOG,20007
172,FOG,20007
173,FOG,20007
174,FOG,20007
175,FOG,20007
176,FOG,20007
177,FOG,20007
178,FOG,20007
179,FOG,20007
180,FOG,20007
181,FOG,20007
182,FOG,20007
183,FOG,20007
184,FOG,20007
185,FOG,20007
186,FOG,20007
187,FOG,20007
188,FOG,20007
189,FOG,20007
190,FOG,20007
191,FOG,20007
192,FOG,20007
193,FOG,20007
194,FOG,20007
195,FOG,20007
196,FOG,20007
197,FOG,20007
198,FOG,20007
199,FOG,20007
200,FOG,20007
201,FOG,20007
202,FOG,20007
203,FOG,20007
204,FOG,20007
205,FOG,20007
206,FOG,20007
207,FOG,20007
208,FOG,20007
209,FOG,20007
210,FOG,20007
211,FOG,20007
212,FOG,20007
213,FOG,20007
214,FOG,20007
215,FOG,20007
216,FOG,20007
217,FOG,20007
218,FOG,20007
219,FOG,20007
220,FOG,20007
221,FOG,20007
222,FOG,20007
223,FOG,20007
224,FOG,20007
225,FOG,20007
226,FOG,20007
227,FOG,20007
228,FOG,20007
229,FOG,20007
230,FOG,20007
231,FOG,20007
232,FOG,20007
233,FOG,20007
234,FOG,20007
235,FOG,20007
236,FOG,20007
237,FOG,20007
238,FOG,20007
239,FOG,20007
240,FOG,20007
241,FOG,20007
242,FOG,20007
243,FOG,20007
244,FOG,20007
245,FOG,20007
246,FOG,20007
247,FOG,20007
248,FOG,20007
249,FOG,20007
250,FOG,20007
251,FOG,20007
252,FOG,20007
253,FOG,20007
254,FOG,20007
255,FOG,20007
256,FOG,20007
257,FOG,20007
258,FOG,20007
259,FOG,20007
260,FOG,20007
261,FOG,20007
262,FOG,20007
263,FOG,20007
264,FOG,20007
265,FOG,20007
266,FOG,20007
267,FOG,20007
268,FOG,20007
269,FOG,20007
270,FOG,20007
271,FOG,20007
272,FOG,20007
273,FOG,20007
274,FOG,20007
275,FOG,20007
276,FOG,20007
277,FOG,20007
278,FOG,20007
279,FOG,20007
280,FOG,20007
281,FOG,20007
282,FOG,20007
283,FOG,20007
284,FOG,20007
285,FOG,20007
286,FOG,20007
287,FOG,20007
288,FOG,20007
289,FOG,20007
290,FOG,20007
291,FOG,20007
292,FOG,20007
293,FOG,20007
294,FOG,20007
295,FOG,20007
296,FOG,20007
297,FOG,20007
298,FOG,20007
299,FOG,20007
300,FOG,20007
301,FOG,20007
302,FOG,20007
303,FOG,20007
304,FOG,20007
305,FOG,20007
306,FOG,20007
307,FOG,20007
308,FOG,20007
309,FOG,20007
310,FOG,20007
311,FOG,20007
312,FOG,20007
313,FOG,20007
314,FOG,20007
315,FOG,20007
316,FOG,20007
317,FOG,20007
318,FOG,20007
319,FOG,20007
320,FOG,20007
321,FOG,20007
322,FOG,20007
323,FOG,20007
324,FOG,20007
325,FOG,20007
326,FOG,20007
327,FOG,20007
328,FOG,20007
329,FOG,20007
330,FOG,20007
331,FOG,20007
332,FOG,20007
333,FOG,20007
334,FOG,20007
335,FOG,20007
336,FOG,20007
337,FOG,20007
338,FOG,20007
339,FOG,20007
340,FOG,20007
341,FOG,20007
342,FOG,20007
343,FOG,20007
344,FOG,20007
345,FOG,20007
346,FOG,20007
347,FOG,20007
348,FOG,20007
349,FOG,20007
350,FOG,20007
351,FOG,20007
352,FOG,20007
353,FOG,20007
354,FOG,20007
355,FOG,20007
356,FOG,20007
357,FOG,20007
358,FOG,20007
359,FOG,20007
360,FOG,20007
361,FOG,20007
362,FOG,20007
363,FOG,20007
364,FOG,20007
365,FOG,20007
366,FOG,20007
367,FOG,20007
368,FOG,20007
369,FOG,20007
370,FOG,20007
371,FOG,20007
372,FOG,20007
373,FOG,20007
374,FOG,20007
375,FOG,20007
376,FOG,20007
377,FOG,20007
378,FOG,20007
379,FOG,20007
380,FOG,20007
381,FOG,20007
382,FOG,20007
383,FOG,20007
384,FOG,20007
385,FOG,20007
386,FOG,20007
387,FOG,20007
388,FOG,20007
389,FOG,20007
390,FOG,20007
391,FOG,20007
392,FOG,20007
393,FOG,20007
394,FOG,20007
395,FOG,20007
396,FOG,20007
397,FOG,20007
398,FOG,20007
399,FOG,20007
400,FOG,20007
401,FOG,20007
402,FOG,20007
403,FOG,20007
404,FOG,20007
405,FOG,20007
406,FOG,20007
407,FOG,20007
408,FOG,20007
409,FOG,20007
410,FOG,20007
411,FOG,20007
412,FOG,20007
413,FOG,20007
414,FOG,20007
415,FOG,20007
416,FOG,20007
417,FOG,20007
418,FOG,20007
419,FOG,20007
420,FOG,20007
421,FOG,20007
422,FOG,20007
423,FOG,20007
424,FOG,20007
425,FOG,20007
426,FOG,20007
427,FOG,20007
428,FOG,20007
429,FOG,20007
430,FOG,20007
431,FOG,20007
