time,scenario,chunk_seed
1,RAIN,20003
2,RAIN,20003
3,RAIN,20003
4,RAIN,20003
5,RAIN,20003
6,RAIN,20003
7,RAIN,20003
8,RAIN,20003
9,RAIN,20003
10,RAIN,20003
11,RAIN,20003
12,RAIN,20003
13,RAIN,20003
14,RAIN,20003
15,RAIN,20003
16,RAIN,20003
17,RAIN,20003
18,RAIN,20003
19,RAIN,20003
20,RAIN,20003
21,RAIN,20003
22,RAIN,20003
23,RAIN,20003
24,RAIN,20003
25,RAIN,20003
26,RAIN,20003
27,RAIN,20003
28,RAIN,20003
29,RAIN,20003
30,RAIN,20003
31,RAIN,20003
32,RAIN,20003
33,RAIN,20003
34,RAIN,20003
35,RAIN,20003
36,RAIN,20003
37,RAIN,20003
38,RAIN,20003
39,RAIN,20003
40,RAIN,20003
41,RAIN,20003
42,RAIN,20003
43,RAIN,20003
44,RAIN,20003
45,RAIN,20003
46,RAIN,20003
47,RAIN,20003
48,RAIN,20003
49,RAIN,20003
50,RAIN,20003
51,RAIN,20003
52,RAIN,20003
53,RAIN,20003
54,RAIN,20003
55,RAIN,20003
56,RAIN,20003
57,RAIN,20003
58,RAIN,20003
59,RAIN,20003
60,RAIN,20003
61,RAIN,20003
62,RAIN,20003
63,RAIN,20003
64,RAIN,20003
65,RAIN,20003
66,RAIN,20003
67,RAIN,20003
68,RAIN,20003
69,RAIN,20003
70,RAIN,20003
71,RAIN,20003
72,RAIN,20003
73,RAIN,20003
74,RAIN,20003
75,RAIN,20003
76,RAIN,20003
77,RAIN,20003
78,RAIN,20003
79,RAIN,20003
80,RAIN,20003
81,RAIN,20003
82,RAIN,20003
83,RAIN,20003
84,RAIN,20003
85,RAIN,20003
86,RAIN,20003
87,RAIN,20003
88,RAIN,20003
89,RAIN,20003
90,RAIN,20003
91,RAIN,20003
92,RAIN,20003
93,RAIN,20003
94,RAIN,20003
95,RAIN,20003
96,RAIN,20003
97,RAIN,20003
98,RAIN,20003
99,RAIN,20003
100,RAIN,20003
101,RAIN,20003
102,RAIN,20003
103,RAIN,20003
104,RAIN,20003
105,RAIN,20003
106,RAIN,20003
107,RAIN,20003
108,RAIN,20003
109,RAIN,20003
110,RAIN,20003
111,RAIN,20003
112,RAIN,20003
113,RAIN,20003
114,RAIN,20003
115,RAIN,20003
116,RAIN,20003
117,RAIN,20003
118,RAIN,20003
119,RAIN,20003
120,RAIN,20003
121,RAIN,20003
122,RAIN,20003
123,RAIN,20003
124,RAIN,20003
125,RAIN,20003
126,RAIN,20003
127,RAIN,20003
128,RAIN,20003
129,RAIN,20003
130,RAIN,20003
131,RAIN,20003
132,RAIN,20003
133,RAIN,20003
134,RAIN,20003
135,RAIN,20003
136,RAIN,20003
