time,scenario,chunk_seed
1,FOG,20017
2,FOG,20017
3,FOG,20017
4,FOG,20017
5,FOG,20017
6,FOG,20017
7,FOG,20017
8,FOG,20017
9,FOG,20017
10,FOG,20017
11,FOG,20017
12,FOG,20017
13,FOG,20017
14,FOG,20017
15,FOG,20017
16,FOG,20017
17,FOG,20017
18,FOG,20017
19,FOG,20017
20,FOG,20017
21,FOG,20017
22,FOG,20017
23,FOG,20017
24,FOG,20017
25,FOG,20017
26,FOG,20017
27,FOG,20017
28,FOG,20017
29,FOG,20017
30,FOG,20017
31,FOG,20017
32,FOG,20017
33,FOG,20017
34,FOG,20017
35,FOG,20017
36,FOG,20017
37,FOG,20017
38,FOG,20017
39,FOG,20017
40,FOG,20017
41,FOG,20017
42,FOG,20017
43,FOG,20017
44,FOG,20017
45,FOG,20017
46,FOG,20017
47,FOG,20017
48,FOG,20017
49,FOG,20017
50,FOG,20017
51,FOG,20017
52,FOG,20017
53,FOG,20017
54,FOG,20017
55,FOG,20017
56,FOG,20017
57,FOG,20017
58,FOG,20017
59,FOG,20017
60,FOG,20017
61,FOG,20017
62,FOG,20017
63,FOG,20017
64,FOG,20017
65,FOG,20017
66,FOG,20017
67,FOG,20017
68,FOG,20017
69,FOG,20017
70,FOG,20017
71,FOG,20017
72,FOG,20017
73,FOG,20017
74,FOG,20017
75,FOG,20017
76,FOG,20017
77,FOG,20017
78,FOG,20017
79,FOG,20017
80,FOG,20017
81,FOG,20017
82,FOG,20017
83,FOG,20017
84,FOG,20017
85,FOG,20017
86,FOG,20017
87,FOG,20017
88,FOG,20017
89,FOG,20017
90,FOG,20017
91,FOG,20017
92,FOG,20017
93,FOG,20017
94,FOG,20017
95,FOG,20017
96,FOG,20017
97,FOG,20017
98,FOG,20017
99,FOG,20017
100,FOG,20017
101,FOG,20017
102,FOG,20017
103,FOG,20017
104,FOG,20017
105,FOG,20017
106,FOG,20017
107,FOG,20017
108,FOG,20017
109,FOG,20017
110,FOG,20017
111,FOG,20017
112,FOG,20017
113,FOG,20017
114,FOG,20017
115,FOG,20017
116,FOG,20017
117,FOG,20017
118,FOG,20017
119,FOG,20017
120,FOG,20017
121,FOG,20017
122,FOG,20017
123,FOG,20017
124,FOG,20017
125,FOG,20017
126,FOG,20017
127,FOG,20017
128,FOG,20017
129,FOG,20017
130,FOG,20017
131,FOG,20017
132,FOG,20017
133,FOG,20017
134,FOG,20017
135,FOG,20017
136,FOG,20017
137,FOG,20017
138,FOG,20017
139,FOG,20017
140,FOG,20017
141,FOG,20017
142,FOG,20017
143,FOG,20017
144,FOG,20017
145,FOG,20017
146,FOG,20017
147,FOG,20017
148,FOG,20017
149,FOG,20017
150,FOG,20017
151,FOG,20017
152,FOG,20017
153,FOG,20017
154,FOG,20017
155,FOG,20017
156,FOG,20017
157,FOG,20017
158,FOG,20017
159,FOG,20017
160,FOG,20017
161,FOG,20017
162,FOG,20017
163,FOG,20017
164,FOG,20017
165,FOG,20017
166,FOG,20017
167,FOG,20017
168,FOG,20017
169,FOG,20017
170,FOG,20017
171,FOG,20017
172,FOG,20017
173,FOG,20017
174,FOG,20017
175,FOG,20017
176,FOG,20017
177,FOG,20017
178,FOG,20017
179,FOG,20017
180,FOG,20017
181,FOG,20017
182,FOG,20017
183,FOG,20017
184,FOG,20017
185,FOG,20017
186,FOG,20017
187,FOG,20017
188,FOG,20017
189,FOG,20017
190,FOG,20017
191,FOG,20017
192,FOG,20017
193,FOG,20017
194,FOG,20017
195,FOG,20017
196,FOG,20017
197,FOG,20017
198,FOG,20017
199,FOG,20017
200,FOG,20017
201,FOG,20017
202,FOG,20017
203,FOG,20017
204,FOG,20017
205,FOG,20017
206,FOG,20017
207,FOG,20017
208,FOG,20017
209,FOG,20017
210,FOG,20017
211,FOG,20017
212,FOG,20017
213,FOG,20017
214,FOG,20017
215,FOG,20017
216,FOG,20017
217,FOG,20017
218,FOG,20017
219,FOG,20017
220,FOG,20017
221,FOG,20017
222,FOG,20017
223,FOG,20017
224,FOG,20017
225,FOG,20017
226,FOG,20017
227,FOG,20017
228,FOG,20017
229,FOG,20017
230,FOG,20017
231,FOG,20017
232,FOG,20017
233,FOG,20017
234,FOG,20017
235,FOG,20017
236,FOG,20017
237,FOG,20017
238,FOG,20017
239,FOG,20017
240,FOG,20017
241,FOG,20017
242,FOG,20017
243,FOG,20017
244,FOG,20017
245,FOG,20017
246,FOG,20017
247,FOG,20017
248,FOG,20017
249,FOG,20017
250,FOG,20017
251,RAIN,20018
252,RAIN,20018
253,RAIN,20018
254,RAIN,20018
255,RAIN,20018
256,RAIN,20018
257,RAIN,20018
258,RAIN,20018
259,RAIN,20018
260,RAIN,20018
261,RAIN,20018
262,RAIN,20018
263,RAIN,20018
264,RAIN,20018
265,RAIN,20018
266,RAIN,20018
267,RAIN,20018
268,RAIN,20018
269,RAIN,20018
270,RAIN,20018
271,RAIN,20018
272,RAIN,20018
273,RAIN,20018
274,RAIN,20018
275,RAIN,20018
276,RAIN,20018
277,RAIN,20018
278,RAIN,20018
279,RAIN,20018
280,RAIN,20018
281,RAIN,20018
282,RAIN,20018
283,RAIN,20018
284,RAIN,20018
285,RAIN,20018
286,RAIN,20018
287,RAIN,20018
288,RAIN,20018
289,RAIN,20018
290,RAIN,20018
291,RAIN,20018
292,RAIN,20018
293,RAIN,20018
294,RAIN,20018
295,RAIN,20018
296,RAIN,20018
297,RAIN,20018
298,RAIN,20018
299,RAIN,20018
300,RAIN,20018
301,RAIN,20018
302,RAIN,20018
303,RAIN,20018
304,RAIN,20018
305,RAIN,20018
306,RAIN,20018
307,RAIN,20018
308,RAIN,20018
309,RAIN,20018
310,RAIN,20018
311,RAIN,20018
312,RAIN,20018
313,RAIN,20018
314,RAIN,20018
315,RAIN,20018
316,RAIN,20018
317,RAIN,20018
318,RAIN,20018
319,RAIN,20018
320,RAIN,20018
321,RAIN,20018
322,RAIN,20018
323,RAIN,20018
324,RAIN,20018
325,RAIN,20018
326,RAIN,20018
327,RAIN,20018
328,RAIN,20018
329,RAIN,20018
330,RAIN,20018
331,RAIN,20018
332,RAIN,20018
333,RAIN,20018
334,RAIN,20018
335,RAIN,20018
336,RAIN,20018
337,RAIN,20018
338,RAIN,20018
339,RAIN,20018
340,RAIN,20018
341,RAIN,20018
342,RAIN,20018
343,RAIN,20018
344,RAIN,20018
345,RAIN,20018
346,RAIN,20018
347,RAIN,20018
348,RAIN,20018
349,RAIN,20018
350,RAIN,20018
351,RAIN,20018
352,RAIN,20018
353,RAIN,20018
354,RAIN,20018
355,RAIN,20018
356,RAIN,20018
357,RAIN,20018
358,RAIN,20018
359,RAIN,20018
360,RAIN,20018
361,RAIN,20018
362,RAIN,20018
363,RAIN,20018
364,RAIN,20018
365,RAIN,20018
366,RAIN,20018
367,RAIN,20018
368,RAIN,20018
369,RAIN,20018
370,RAIN,20018
371,RAIN,20018
372,RAIN,20018
373,RAIN,20018
374,RAIN,20018
375,RAIN,20018
376,RAIN,20018
377,RAIN,20018
378,RAIN,20018
379,RAIN,20018
380,RAIN,20018
381,RAIN,20018
382,RAIN,20018
383,RAIN,20018
384,RAIN,20018
385,RAIN,20018
386,RAIN,20018
387,RAIN,20018
388,RAIN,20018
389,RAIN,20018
390,RAIN,20018
391,RAIN,20018
392,RAIN,20018
393,RAIN,20018
394,RAIN,20018
395,RAIN,20018
396,RAIN,20018
397,RAIN,20018
398,RAIN,20018
399,RAIN,20018
400,RAIN,20018
401,RAIN,20018
402,RAIN,20018
403,RAIN,20018
404,RAIN,20018
405,RAIN,20018
406,RAIN,20018
407,RAIN,20018
408,RAIN,20018
409,RAIN,20018
410,RAIN,20018
411,RAIN,20018
412,RAIN,20018
413,RAIN,20018
414,RAIN,20018
415,RAIN,20018
416,RAIN,20018
417,RAIN,20018
418,RAIN,20018
419,RAIN,20018
420,RAIN,20018
421,RAIN,20018
422,RAIN,20018
423,RAIN,20018
424,RAIN,20018
425,RAIN,20018
426,RAIN,20018
427,RAIN,20018
428,RAIN,20018
429,RAIN,20018
430,RAIN,20018
431,RAIN,20018
432,RAIN,20018
433,RAIN,20018
434,RAIN,20018
435,RAIN,20018
436,RAIN,20018
437,RAIN,20018
438,RAIN,20018
439,RAIN,20018
440,RAIN,20018
441,RAIN,20018
442,RAIN,20018
443,RAIN,20018
444,RAIN,20018
445,RAIN,20018
446,RAIN,20018
447,RAIN,20018
448,RAIN,20018
449,RAIN,20018
450,RAIN,20018
451,RAIN,20018
452,RAIN,20018
453,RAIN,20018
454,RAIN,20018
455,RAIN,20018
456,RAIN,20018
457,RAIN,20018
458,RAIN,20018
459,RAIN,20018
460,RAIN,20018
461,RAIN,20018
462,RAIN,20018
463,RAIN,20018
464,RAIN,20018
465,RAIN,20018
466,RAIN,20018
467,RAIN,20018
468,RAIN,20018
469,RAIN,20018
470,RAIN,20018
471,RAIN,20018
472,RAIN,20018
473,RAIN,20018
474,RAIN,20018
475,RAIN,20018
476,RAIN,20018
477,RAIN,20018
478,RAIN,20018
479,RAIN,20018
480,RAIN,20018
481,RAIN,20018
482,RAIN,20018
483,RAIN,20018
484,RAIN,20018
485,RAIN,20018
486,RAIN,20018
487,RAIN,20018
488,RAIN,20018
489,RAIN,20018
490,RAIN,20018
491,RAIN,20018
492,RAIN,20018
493,RAIN,20018
494,RAIN,20018
495,RAIN,20018
496,RAIN,20018
