time,scenario,chunk_seed
1,SNOW,20005
2,SNOW,20005
3,SNOW,20005
4,SNOW,20005
5,SNOW,20005
6,SNOW,20005
7,SNOW,20005
8,SNOW,20005
9,SNOW,20005
10,SNOW,20005
11,SNOW,20005
12,SNOW,20005
13,SNOW,20005
14,SNOW,20005
15,SNOW,20005
16,SNOW,20005
17,SNOW,20005
18,SNOW,20005
19,SNOW,20005
20,SNOW,20005
21,SNOW,20005
22,SNOW,20005
23,SNOW,20005
24,SNOW,20005
25,SNOW,20005
26,SNOW,20005
27,SNOW,20005
28,SNOW,20005
29,SNOW,20005
30,SNOW,20005
31,SNOW,20005
32,SNOW,20005
33,SNOW,20005
34,SNOW,20005
35,SNOW,20005
36,SNOW,20005
37,SNOW,20005
38,SNOW,20005
39,SNOW,20005
40,SNOW,20005
41,SNOW,20005
42,SNOW,20005
43,SNOW,20005
44,SNOW,20005
45,SNOW,20005
46,SNOW,20005
47,SNOW,20005
48,SNOW,20005
49,SNOW,20005
50,SNOW,20005
51,SNOW,20005
52,SNOW,20005
53,SNOW,20005
54,SNOW,20005
55,SNOW,20005
56,SNOW,20005
57,SNOW,20005
58,SNOW,20005
59,SNOW,20005
60,SNOW,20005
61,SNOW,20005
62,SNOW,20005
63,SNOW,20005
64,SNOW,20005
65,SNOW,20005
66,SNOW,20005
67,SNOW,20005
68,SNOW,20005
69,SNOW,20005
70,SNOW,20005
71,SNOW,20005
72,SNOW,20005
73,SNOW,20005
74,SNOW,20005
75,SNOW,20005
76,SNOW,20005
77,SNOW,20005
78,SNOW,20005
79,SNOW,20005
80,SNOW,20005
81,SNOW,20005
82,SNOW,20005
83,SNOW,20005
84,SNOW,20005
85,SNOW,20005
86,SNOW,20005
87,SNOW,20005
88,SNOW,20005
89,SNOW,20005
90,SNOW,20005
91,SNOW,20005
92,SNOW,20005
93,SNOW,20005
94,SNOW,20005
95,SNOW,20005
96,SNOW,20005
97,SNOW,20005
98,SNOW,20005
99,SNOW,20005
100,SNOW,20005
101,SNOW,20005
102,SNOW,20005
103,SNOW,20005
104,SNOW,20005
105,SNOW,20005
106,SNOW,20005
107,SNOW,20005
108,SNOW,20005
109,SNOW,20005
110,SNOW,20005
111,SNOW,20005
112,SNOW,20005
113,SNOW,20005
114,SNOW,20005
115,SNOW,20005
116,SNOW,20005
117,SNOW,20005
118,SNOW,20005
119,SNOW,20005
120,SNOW,20005
121,SNOW,20005
122,SNOW,20005
123,SNOW,20005
124,SNOW,20005
125,SNOW,20005
126,SNOW,20005
127,SNOW,20005
128,SNOW,20005
129,SNOW,20005
130,SNOW,20005
131,SNOW,20005
132,SNOW,20005
133,SNOW,20005
134,SNOW,20005
135,SNOW,20005
136,SNOW,20005
137,SNOW,20005
138,SNOW,20005
139,SNOW,20005
140,SNOW,20005
141,SNOW,20005
142,SNOW,20005
143,SNOW,20005
144,SNOW,20005
145,SNOW,20005
146,SNOW,20005
147,SNOW,20005
148,SNOW,20005
149,SNOW,20005
150,SNOW,20005
151,SNOW,20005
152,SNOW,20005
153,SNOW,20005
154,SNOW,20005
155,SNOW,20005
156,SNOW,20005
157,SNOW,20005
158,SNOW,20005
159,SNOW,20005
160,SNOW,20005
161,SNOW,20005
162,SNOW,20005
163,SNOW,20005
164,SNOW,20005
165,SNOW,20005
166,SNOW,20005
167,SNOW,20005
168,SNOW,20005
169,SNOW,20005
170,SNOW,20005
171,SNOW,20005
172,SNOW,20005
173,SNOW,20005
174,SNOW,20005
175,SNOW,20005
176,SNOW,20005
177,SNOW,20005
178,SNOW,20005
179,SNOW,20005
180,SNOW,20005
181,SNOW,20005
182,SNOW,20005
183,SNOW,20005
184,SNOW,20005
185,SNOW,20005
186,SNOW,20005
187,SNOW,20005
188,SNOW,20005
189,SNOW,20005
190,SNOW,20005
191,SNOW,20005
192,SNOW,20005
193,SNOW,20005
194,SNOW,20005
195,SNOW,20005
196,SNOW,20005
197,SNOW,20005
198,SNOW,20005
199,SNOW,20005
200,SNOW,20005
201,SNOW,20005
202,SNOW,20005
203,SNOW,20005
204,SNOW,20005
205,SNOW,20005
206,SNOW,20005
207,SNOW,20005
208,SNOW,20005
209,SNOW,20005
210,SNOW,20005
211,SNOW,20005
212,SNOW,20005
213,SNOW,20005
214,SNOW,20005
215,SNOW,20005
216,SNOW,20005
217,SNOW,20005
218,SNOW,20005
219,SNOW,20005
220,SNOW,20005
221,SNOW,20005
222,SNOW,20005
223,SNOW,20005
224,SNOW,20005
225,SNOW,20005
226,SNOW,20005
227,SNOW,20005
228,SNOW,20005
229,SNOW,20005
230,SNOW,20005
231,SNOW,20005
232,SNOW,20005
233,SNOW,20005
234,SNOW,20005
235,SNOW,20005
236,SNOW,20005
237,SNOW,20005
238,SNOW,20005
239,SNOW,20005
240,SNOW,20005
241,SNOW,20005
242,SNOW,20005
243,SNOW,20005
244,SNOW,20005
245,SNOW,20005
246,SNOW,20005
247,SNOW,20005
248,SNOW,20005
249,SNOW,20005
250,SNOW,20005
251,SNOW,20005
252,SNOW,20005
253,SNOW,20005
254,SNOW,20005
255,SNOW,20005
256,SNOW,20005
257,SNOW,20005
258,SNOW,20005
259,SNOW,20005
260,SNOW,20005
261,SNOW,20005
262,SNOW,20005
263,SNOW,20005
264,SNOW,20005
265,SNOW,20005
266,SNOW,20005
267,SNOW,20005
268,SNOW,20005
269,SNOW,20005
270,SNOW,20005
271,SNOW,20005
272,SNOW,20005
273,SNOW,20005
274,SNOW,20005
275,SNOW,20005
276,SNOW,20005
277,SNOW,20005
278,SNOW,20005
279,SNOW,20005
280,SNOW,20005
281,SNOW,20005
282,SNOW,20005
283,SNOW,20005
284,SNOW,20005
285,SNOW,20005
286,SNOW,20005
287,SNOW,20005
288,SNOW,20005
289,SNOW,20005
290,SNOW,20005
291,SNOW,20005
292,SNOW,20005
293,SNOW,20005
294,SNOW,20005
295,SNOW,20005
296,SNOW,20005
297,SNOW,20005
298,SNOW,20005
299,SNOW,20005
300,SNOW,20005
301,SNOW,20005
302,SNOW,20005
303,SNOW,20005
304,SNOW,20005
305,SNOW,20005
306,SNOW,20005
307,SNOW,20005
308,SNOW,20005
309,SNOW,20005
310,SNOW,20005
311,SNOW,20005
312,SNOW,20005
313,SNOW,20005
314,SNOW,20005
315,SNOW,20005
316,SNOW,20005
317,SNOW,20005
318,SNOW,20005
319,SNOW,20005
320,SNOW,20005
321,SNOW,20005
322,SNOW,20005
323,SNOW,20005
324,SNOW,20005
325,SNOW,20005
326,SNOW,20005
327,SNOW,20005
328,SNOW,20005
329,SNOW,20005
330,SNOW,20005
331,SNOW,20005
332,SNOW,20005
333,SNOW,20005
334,SNOW,20005
335,SNOW,20005
336,SNOW,20005
337,SNOW,20005
338,SNOW,20005
339,SNOW,20005
340,SNOW,20005
341,SNOW,20005
342,SNOW,20005
343,SNOW,20005
344,SNOW,20005
345,SNOW,20005
346,SNOW,20005
347,SNOW,20005
348,SNOW,20005
349,SNOW,20005
350,SNOW,20005
351,SNOW,20005
352,SNOW,20005
353,SNOW,20005
354,SNOW,20005
355,SNOW,20005
356,SNOW,20005
357,SNOW,20005
358,SNOW,20005
359,SNOW,20005
360,SNOW,20005
361,SNOW,20005
362,SNOW,20005
363,SNOW,20005
364,SNOW,20005
365,SNOW,20005
366,SNOW,20005
367,SNOW,20005
368,SNOW,20005
369,SNOW,20005
370,SNOW,20005
371,SNOW,20005
372,SNOW,20005
373,SNOW,20005
374,SNOW,20005
375,SNOW,20005
376,SNOW,20005
377,SNOW,20005
378,SNOW,20005
379,SNOW,20005
380,SNOW,20005
381,SNOW,20005
382,SNOW,20005
383,SNOW,20005
384,SNOW,20005
385,SNOW,20005
386,SNOW,20005
387,SNOW,20005
388,SNOW,20005
389,SNOW,20005
390,SNOW,20005
391,SNOW,20005
392,SNOW,20005
393,SNOW,20005
394,SNOW,20005
395,SNOW,20005
396,SNOW,20005
397,SNOW,20005
398,SNOW,20005
399,SNOW,20005
400,SNOW,20005
401,SNOW,20005
402,SNOW,20005
403,SNOW,20005
404,SNOW,20005
405,SNOW,20005
406,SNOW,20005
407,SNOW,20005
408,SNOW,20005
409,SNOW,20005
410,SNOW,20005
411,SNOW,20005
412,SNOW,20005
413,SNOW,20005
414,SNOW,20005
415,SNOW,20005
416,SNOW,20005
417,SNOW,20005
418,SNOW,20005
