timestep,task_count,average_speed,total_task_power
0.00,24,11.13,56.08
1.00,29,11.13,71.61
2.00,36,11.13,84.1
3.00,32,11.13,70.62
4.00,26,11.13,54.94
5.00,20,11.13,43.32
6.00,28,11.13,62.69
7.00,28,11.13,65.3
8.00,32,11.13,70.41
9.00,28,11.13,68.65
10.00,27,11.13,56.59
11.00,34,11.13,68.84
12.00,29,11.13,68.63
13.00,31,11.13,72.76
14.00,30,11.13,72.55
15.00,30,11.13,73.86
16.00,28,11.13,60.59
17.00,31,11.13,70.07
18.00,29,11.13,74.59
19.00,38,11.13,85.17
20.00,29,11.13,66.14
21.00,30,11.13,61.05
22.00,30,11.13,68.16
23.00,39,11.13,85.29
24.00,39,11.13,79.17
25.00,33,11.13,70.51
26.00,28,11.13,52.83
27.00,27,11.13,63.26
28.00,30,11.13,64.58
29.00,34,11.13,69.81
30.00,37,9.46,90.7
31.00,38,9.46,74.88
32.00,48,9.46,118.52
33.00,43,9.46,98.32
34.00,38,9.46,84.95
35.00,39,9.46,91.46
36.00,41,9.46,90.12
37.00,45,9.46,102.68
38.00,49,9.46,105.86
39.00,46,9.46,98.5
40.00,44,9.46,100.01
41.00,45,9.46,97.31
42.00,38,9.46,80.95
43.00,40,9.46,93.89
44.00,37,9.46,82.29
45.00,40,9.46,83.02
46.00,45,9.46,97.34
47.00,37,9.46,85.34
48.00,37,9.46,83.57
49.00,44,9.46,99.2
50.00,43,9.46,97.39
51.00,40,9.46,92.89
52.00,40,9.46,100.65
53.00,46,9.46,99.69
54.00,49,9.46,113.36
55.00,37,9.46,82.95
56.00,32,9.46,82.76
57.00,54,9.46,121.82
58.00,29,9.46,68.04
59.00,43,9.46,101.96
60.00,35,7.79,85.3
61.00,33,7.79,71.89
62.00,33,7.79,75.0
63.00,36,7.79,80.08
64.00,34,7.79,79.25
65.00,35,7.79,79.82
66.00,34,7.79,80.1
67.00,32,7.79,72.25
68.00,34,7.79,76.7
69.00,32,7.79,70.97
70.00,33,7.79,72.31
71.00,34,7.79,77.28
72.00,35,7.79,84.24
73.00,31,7.79,71.54
74.00,37,7.79,90.92
75.00,34,7.79,72.55
76.00,32,7.79,65.9
77.00,37,7.79,78.94
78.00,34,7.79,75.73
79.00,35,7.79,74.83
80.00,35,7.79,79.81
81.00,35,7.79,75.73
82.00,36,7.79,78.71
83.00,35,7.79,79.32
84.00,31,7.79,71.68
85.00,34,7.79,77.52
86.00,35,7.79,69.93
87.00,31,7.79,65.68
88.00,33,7.79,71.38
89.00,33,7.79,76.99
90.00,49,4.45,113.88
91.00,52,4.45,124.09
92.00,53,4.45,126.45
93.00,58,4.45,125.25
94.00,58,4.45,134.78
95.00,57,4.45,134.36
96.00,55,4.45,125.47
97.00,59,4.45,127.59
98.00,44,4.45,102.45
99.00,45,4.45,95.1
100.00,54,4.45,121.51
101.00,48,4.45,108.02
102.00,55,4.45,125.6
103.00,58,4.45,129.11
104.00,56,4.45,125.39
105.00,54,4.45,121.11
106.00,55,4.45,124.16
107.00,53,4.45,120.23
108.00,57,4.45,122.59
109.00,52,4.45,115.18
110.00,47,4.45,103.49
111.00,51,4.45,112.15
112.00,51,4.45,113.18
113.00,53,4.45,120.88
114.00,61,4.45,135.83
115.00,48,4.45,114.8
116.00,51,4.45,113.76
117.00,51,4.45,116.41
118.00,53,4.45,120.22
119.00,56,4.45,121.54
