time,scenario
0,BASE
1,BASE
2,BASE
3,BASE
4,BASE
5,BASE
6,BASE
7,BASE
8,BASE
9,BASE
10,BASE
11,BASE
12,BASE
13,BASE
14,BASE
15,BASE
16,BASE
17,BASE
18,BASE
19,BASE
20,BASE
21,BASE
22,BASE
23,BASE
24,BASE
25,BASE
26,BASE
27,BASE
28,BASE
29,BASE
30,RAIN
31,RAIN
32,RAIN
33,RAIN
34,RAIN
35,RAIN
36,RAIN
37,RAIN
38,RAIN
39,RAIN
40,RAIN
41,RAIN
42,RAIN
43,RAIN
44,RAIN
45,RAIN
46,RAIN
47,RAIN
48,RAIN
49,RAIN
50,RAIN
51,RAIN
52,RAIN
53,RAIN
54,RAIN
55,RAIN
56,RAIN
57,RAIN
58,RAIN
59,RAIN
60,SNOW
61,SNOW
62,SNOW
63,SNOW
64,SNOW
65,SNOW
66,SNOW
67,SNOW
68,SNOW
69,SNOW
70,SNOW
71,SNOW
72,SNOW
73,SNOW
74,SNOW
75,SNOW
76,SNOW
77,SNOW
78,SNOW
79,SNOW
80,SNOW
81,SNOW
82,SNOW
83,SNOW
84,SNOW
85,SNOW
86,SNOW
87,SNOW
88,SNOW
89,SNOW
90,FOG
91,FOG
92,FOG
93,FOG
94,FOG
95,FOG
96,FOG
97,FOG
98,FOG
99,FOG
100,FOG
101,FOG
102,FOG
103,FOG
104,FOG
105,FOG
106,FOG
107,FOG
108,FOG
109,FOG
110,FOG
111,FOG
112,FOG
113,FOG
114,FOG
115,FOG
116,FOG
117,FOG
118,FOG
119,FOG
